Date,Close,High,Low,Open,Volume,daily_return,gap_pct,intraday_return,overnight_return,prev_day_return,prev_day_direction,weekday,weekday_name,prev_weekday_name,day_transition,gap_direction,gap_bucket,ma50,trend_regime,volatility_20,vol_median,vol_regime,btst_return
2011-02-02,5432.0,5490.60009765625,5415.64990234375,5469.5498046875,0.0,0.27320025389325764,0.966359142870483,-0.6865245957778675,0.966359142870483,-1.6109938176226635,DOWN,2,Wednesday,Tuesday,Tuesday_to_Wednesday,GAP_UP,SMALL_UP,5858.3469921875,DOWNTREND,1.1852603244978699,0.9887463693584662,HIGH_VOL,-0.02853101412923417
2011-02-03,5526.75,5532.64990234375,5418.0,5430.4501953125,0.0,1.7442930780559696,-0.02853101412923417,1.7733300412298199,-0.02853101412923417,0.27320025389325764,UP,3,Thursday,Wednesday,Wednesday_to_Thursday,GAP_DOWN,FLAT,5850.1869921875,DOWNTREND,1.2897732431069764,0.9887463693584662,HIGH_VOL,-0.12394440957615234
2011-02-04,5395.75,5556.2998046875,5369.0498046875,5519.89990234375,0.0,-2.370289953408422,-0.12394440957615234,-2.249133218720795,-0.12394440957615234,1.7442930780559696,UP,4,Friday,Thursday,Thursday_to_Friday,GAP_DOWN,FLAT,5840.7869921875,DOWNTREND,1.3582547757248558,0.9887463693584662,HIGH_VOL,0.6375369938145763
2011-02-07,5396.0,5440.35009765625,5376.9501953125,5430.14990234375,0.0,0.004633276189602853,0.6375369938145763,-0.6288942839130517,0.6375369938145763,-2.370289953408422,DOWN,0,Monday,Friday,Friday_to_Monday,GAP_UP,SMALL_UP,5832.7119921875,DOWNTREND,1.2936120967707825,0.9887463693584662,HIGH_VOL,0.6736489558237584
2011-02-08,5312.5498046875,5432.35009765625,5303.39990234375,5432.35009765625,0.0,-1.5465195573109658,0.6736489558237584,-2.2053124488503975,0.6736489558237584,0.004633276189602853,UP,1,Tuesday,Monday,Monday_to_Tuesday,GAP_UP,SMALL_UP,5823.923984375,DOWNTREND,1.2384466528251736,0.9887463693584662,HIGH_VOL,-0.3670553823852019
2011-02-09,5253.5498046875,5339.4501953125,5225.64990234375,5293.0498046875,0.0,-1.1105778236270236,-0.3670553823852019,-0.7462616347388038,-0.3670553823852019,-1.5465195573109658,DOWN,2,Wednesday,Tuesday,Tuesday_to_Wednesday,GAP_DOWN,SMALL_DOWN,5812.39498046875,DOWNTREND,1.246915526225204,0.9887463693584662,HIGH_VOL,-0.1427606148000747
2011-02-10,5225.7998046875,5272.60009765625,5196.7998046875,5246.0498046875,0.0,-0.5282142747602747,-0.1427606148000747,-0.38600472267545055,-0.1427606148000747,-1.1105778236270236,DOWN,3,Thursday,Wednesday,Wednesday_to_Thursday,GAP_DOWN,FLAT,5799.65697265625,DOWNTREND,1.1183090362208068,0.9887463693584662,HIGH_VOL,-0.11768346614107926
2011-02-11,5310.0,5319.4501953125,5177.7001953125,5219.64990234375,0.0,1.6112403547677623,-0.11768346614107926,1.7309608756648716,-0.11768346614107926,-0.5282142747602747,DOWN,4,Friday,Thursday,Thursday_to_Friday,GAP_DOWN,FLAT,5786.638974609375,DOWNTREND,1.1725330340780389,0.9887463693584662,HIGH_VOL,0.5696798493408664
2011-02-14,5456.0,5463.7998046875,5340.25,5340.25,0.0,2.7495291902071672,0.5696798493408664,2.167501521464351,0.5696798493408664,1.6112403547677623,UP,0,Monday,Friday,Friday_to_Monday,GAP_UP,SMALL_UP,5775.524970703125,DOWNTREND,1.32419426448114,0.9887463693584662,HIGH_VOL,0.21535923753665687
2011-02-15,5481.0,5506.5,5408.35009765625,5467.75,0.0,0.4582111436950198,0.21535923753665687,0.24233002606190845,0.21535923753665687,2.7495291902071672,UP,1,Tuesday,Monday,Monday_to_Tuesday,GAP_UP,FLAT,5765.288974609375,DOWNTREND,1.331219109671704,0.9887463693584662,HIGH_VOL,-0.24447915241288085
