Ticker,Rule,Trades,Win Rate %,Avg Net %,Total Return %,Profit Factor,Max Drawdown %
HINDUNILVR.NS,Rule3_EarlyWeek,750,51.9,0.05,43.3,1.32,-8.06
HINDUNILVR.NS,Rule4_Combined,371,49.9,0.036,13.64,1.21,-8.38
ICICIBANK.NS,Rule1_ReliableBull,736,56.2,0.1283,150.78,1.61,-8.58
ICICIBANK.NS,Rule3_EarlyWeek,734,54.9,0.0595,50.19,1.21,-15.06
ICICIBANK.NS,Rule4_Combined,446,55.4,0.0891,47.21,1.44,-5.43
ITC.NS,Rule1_ReliableBull,667,57.6,0.1085,103.55,1.74,-7.69
ITC.NS,Rule3_EarlyWeek,728,59.6,0.0918,91.78,1.65,-11.28
ITC.NS,Rule4_Combined,394,57.4,0.0954,44.88,1.72,-4.88
INDUSINDBK.NS,Rule1_ReliableBull,774,60.3,0.1416,191.72,1.74,-9.21
INDUSINDBK.NS,Rule3_EarlyWeek,712,60.0,0.1448,167.47,1.58,-14.64
INDUSINDBK.NS,Rule4_Combined,473,63.0,0.1844,135.92,2.11,-5.13
INFY.NS,Rule1_ReliableBull,734,56.1,0.0927,91.71,1.38,-10.01
INFY.NS,Rule3_EarlyWeek,721,55.9,0.0685,60.15,1.3,-11.01
INFY.NS,Rule4_Combined,435,57.0,0.1197,66.13,1.57,-9.26
JSWSTEEL.NS,Rule1_ReliableBull,779,59.1,0.1166,142.63,1.6,-10.56
JSWSTEEL.NS,Rule3_EarlyWeek,747,54.6,0.0593,52.58,1.26,-16.06
JSWSTEEL.NS,Rule4_Combined,477,59.7,0.1031,61.96,1.59,-5.52
KOTAKBANK.NS,Rule1_ReliableBull,707,52.9,0.0127,8.14,1.07,-15.32
KOTAKBANK.NS,Rule3_EarlyWeek,702,54.6,0.0644,54.72,1.35,-8.84
KOTAKBANK.NS,Rule4_Combined,417,52.3,-0.0053,-2.78,0.97,-11.52
LTIM.NS,Rule1_ReliableBull,494,60.9,0.1666,123.2,1.88,-7.12
LTIM.NS,Rule3_EarlyWeek,425,58.8,0.1038,53.52,1.5,-10.64
LTIM.NS,Rule4_Combined,302,62.3,0.208,84.8,2.25,-4.5
LT.NS,Rule1_ReliableBull,788,60.9,0.1127,139.11,1.75,-9.83
LT.NS,Rule3_EarlyWeek,749,63.4,0.156,215.31,1.96,-5.58
LT.NS,Rule4_Combined,475,61.3,0.1219,77.24,1.99,-6.65
M&M.NS,Rule1_ReliableBull,826,58.2,0.1223,169.39,1.7,-9.25
M&M.NS,Rule3_EarlyWeek,721,60.1,0.0939,93.63,1.51,-8.26
M&M.NS,Rule4_Combined,518,56.4,0.0605,35.49,1.33,-9.89
MARUTI.NS,Rule1_ReliableBull,783,59.0,0.1166,146.13,1.86,-8.2
MARUTI.NS,Rule3_EarlyWeek,727,59.8,0.1056,112.15,1.64,-15.54
MARUTI.NS,Rule4_Combined,473,59.8,0.1098,66.9,1.83,-5.15
NTPC.NS,Rule1_ReliableBull,686,58.6,0.1281,136.75,1.78,-12.16
NTPC.NS,Rule3_EarlyWeek,755,57.0,0.0846,86.52,1.49,-12.44
NTPC.NS,Rule4_Combined,425,58.6,0.1487,86.57,2.04,-7.95
NESTLEIND.NS,Rule1_ReliableBull,678,54.0,0.1102,108.25,1.74,-6.2
